event_time,event_type,product_id,brand,category_code,price,user_id,user_session
2023-10-01 00:11:00,view,179,dell,apparel.clothing,33258.92,1132,sess_4324
2023-10-01 00:11:00,view,394,boat,electronics.laptop,11761.98,1132,sess_4324
2023-10-01 00:11:00,view,488,sennheiser,apparel.shoes,3542.24,1132,sess_4324
2023-10-01 00:12:00,view,240,puma,apparel.shoes,47084.24,1132,sess_4324
2023-10-01 00:12:00,view,426,sennheiser,apparel.shoes,48369.03,3937,sess_2993
2023-10-01 00:12:00,view,384,panasonic,electronics.phone,21810.78,3937,sess_2993
2023-10-01 00:15:00,view,388,apple,electronics.audio,18050.47,3937,sess_2993
2023-10-01 00:16:00,view,5,apple,electronics.phone,4865.02,3937,sess_2993
2023-10-01 00:18:00,cart,179,dell,apparel.clothing,33258.92,1132,sess_4324
2023-10-01 00:20:00,view,218,puma,appliances.kitchen,8418.23,1912,sess_85
2023-10-01 00:20:00,view,279,levis,apparel.clothing,14292.34,1912,sess_85
2023-10-01 00:22:00,view,369,lenovo,apparel.shoes,48247.26,1912,sess_85
2023-10-01 00:23:00,view,345,philips,electronics.laptop,15674.36,1912,sess_85
2023-10-01 00:27:00,view,123,acer,electronics.audio,30319.53,1867,sess_5279
2023-10-01 00:28:00,cart,369,lenovo,apparel.shoes,48247.26,1912,sess_85
2023-10-01 00:31:00,view,446,acer,electronics.phone,34574.98,1867,sess_5279
2023-10-01 00:36:00,cart,446,acer,electronics.phone,34574.98,1867,sess_5279
2023-10-01 00:37:00,purchase,369,lenovo,apparel.shoes,48247.26,1912,sess_85
2023-10-01 00:42:00,view,117,adidas,electronics.audio,8054.79,2262,sess_7967
2023-10-01 00:48:00,cart,117,adidas,electronics.audio,8054.79,2262,sess_7967
2023-10-01 01:28:00,view,109,nike,electronics.audio,10371.11,1536,sess_7008
2023-10-01 01:29:00,view,67,sennheiser,appliances.kitchen,18795.34,1536,sess_7008
2023-10-01 01:29:00,view,317,philips,electronics.audio,35045.74,1536,sess_7008
2023-10-01 01:29:00,view,172,jbl,apparel.clothing,15186.3,1536,sess_7008
2023-10-01 01:56:00,view,353,lenovo,apparel.shoes,9691.4,2188,sess_2388
2023-10-01 02:13:00,view,259,samsung,apparel.shoes,42576.45,1445,sess_1835
2023-10-01 02:13:00,view,340,h&m,appliances.kitchen,22212.64,1445,sess_1835
2023-10-01 02:14:00,view,233,jbl,electronics.laptop,12078.54,2610,sess_1304
2023-10-01 02:15:00,view,136,adidas,appliances.personal_care,48614.37,1862,sess_1340
2023-10-01 02:16:00,view,254,reebok,appliances.personal_care,36604.11,2610,sess_1304
2023-10-01 02:16:00,view,476,lenovo,electronics.audio,31290.01,2610,sess_1304
2023-10-01 02:18:00,cart,136,adidas,appliances.personal_care,48614.37,1862,sess_1340
2023-10-01 02:20:00,cart,254,reebok,appliances.personal_care,36604.11,2610,sess_1304
